Название товара;Артикул Ozon;Артикул продавца;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика суммы заказов, %;Заказано товаров;Самая низкая цена, ₽;Средняя цена покупки, ₽;Упущенные продажи, ₽;Дней без остатка, дни;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Среднее время доставки;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Показы в поиске и каталоге;Посещения карточки товара;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
—;—;—;—;—;—;—;Приносят больше выручки и чаще продаются. А ещё за их поставки можно получить бонусы и скидки. Узнайте, какие Super-товары продают на Ozon сейчас;Общая стоимость заказанных товаров, включая отмены и возвраты. Для расчёта берём цену, которую заплатил покупатель, с учётом скидок продавца и покупателя;Как изменилась суммарная стоимость заказов в сравнении с предыдущим периодом;Общее количество заказанных товаров;Самая низкая цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Средняя цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Сколько выручки мог бы ещё получить продавец, если бы товар был на складе все 28 дней;Считаем сколько дней из последних 28 товар был в наличии;Средняя сумма заказов в сутки (ADS) — делим сумму всех продаж за 28 дней на количество дней, когда товар был в наличии. Не вычитаем возвраты и отмены;Среднее количество заказов в сутки — делим количество всех заказов за 28 дней на количество дней, когда товар был в наличии;Модель сотрудничества с Ozon — зависит от того, с чьего склада продаётся товар (Ozon или продавца) и кто доставляет заказ;Умножаем время доставки между кластерами по всем маршрутам на количество отправленных товаров за 28 дней. Затем суммируем полученные значения и делим на общее количество товаров;Сколько места занимает товар — чем больше объём, тем выше стоимость логистики и размещения товара на складе Ozon;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Сколько раз покупатели посмотрели товар в поисковой выдаче и каталоге;Сколько раз покупатели перешли в карточку товара за последние 28 дней;Отношение количества добавлений товара в корзину к количеству просмотров в каталоге и поиске;Отношение количества просмотров карточки к количеству добавлений товара в корзину после просмотра;Процент расходов на продвижение товаров от суммы всех заказов;Процент заказанных товаров, которые не отменили и не вернули;—
"Кофе растворимый ""Московская Кофейня на Паяхъ"" АРАБИКА 230 г., сублимированный пакет";1884364509;KD00292;https://www.ozon.ru/product/1884364509;Московская кофейня на паяхъ;Продукты питания;Кофе растворимый;Нет;29 786 ₽;-6%;27;991 ₽;1 103 ₽;8 103 ₽;26 из 28;1 158 ₽;1;FBO;60 ч;3,6;41,0%;52,0%;2 698;314;0,11%;13,69%;0,0%;81,4%;2025-02-19
Faсe to Faсe Classic кофе в зернах, 1 кг;1852730352;92804;https://www.ozon.ru/product/1852730352;Face to Face;Продукты питания;Кофе в зернах;Нет;29 770 ₽;-48%;17;1 666 ₽;1 751 ₽;0 ₽;28 из 28;571 ₽;0;FBS;0 ч;5,7;39,0%;48,0%;666;275;0,90%;4,36%;0,0%;52,9%;2025-01-31
Кофе растворимый NESCAFE KULTA 200 гр. из Финляндии;1744773446;2040-2;https://www.ozon.ru/product/1744773446;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;29 769 ₽;-51%;26;859 ₽;1 145 ₽;0 ₽;25 из 28;1 063 ₽;1;FBO,FBS;40 ч;9,0;48,0%;62,0%;7 002;320;0,17%;7,81%;0,0%;100,0%;2024-10-30
"Натуральный растворимый сублимированный кофе ""ORIGINAL"", 800гр";1636327743;кофОриг400х2шт;https://www.ozon.ru/product/1636327743;MAXIMUS;Продукты питания;Кофе растворимый;Нет;29 765 ₽;+123%;15;1 849 ₽;1 984 ₽;0 ₽;28 из 28;997 ₽;1;FBS;0 ч;4,9;37,0%;46,0%;2 518;221;0,19%;12,21%;0,0%;100,0%;2024-07-23
Дрип-пакеты BACHA кофе с шоколадом и апельсином SEVILLE ORANGE;2134376447;APBGCF9010-001;https://www.ozon.ru/product/2134376447;BACHA;Продукты питания;Кофе в дрип-пакетах;Нет;29 762 ₽;+74%;7;3 896 ₽;4 252 ₽;22 321 ₽;12 из 28;1 860 ₽;0;FBS;0 ч;0,0;34,0%;39,0%;1 025;114;0,58%;6,14%;0,0%;100,0%;2025-05-14
Кофе молотый Dallmayr Prodomo 500 грамм;1920579337;МОЛОТЫЙ Dallmayr CREMA PRODOMO, 500г;https://www.ozon.ru/product/1920579337;Dallmayr;Продукты питания;Кофе молотый;Нет;29 756 ₽;+171%;24;1 158 ₽;1 240 ₽;0 ₽;24 из 28;1 063 ₽;1;FBS;0 ч;1,8;38,0%;47,0%;4 310;361;0,09%;6,92%;0,0%;91,6%;2025-03-06
Кофе Mehmet Efendi молотый арабика 250 гр;1774355583;MEHMET_EFENDİ_КОФЕ_250Г;https://www.ozon.ru/product/1774355583;Kurukahveci Mehmet Efendi;Продукты питания;Кофе молотый;Нет;29 754 ₽;+125%;42;1 ₽;708 ₽;0 ₽;26 из 28;1 033 ₽;1;FBS;0 ч;1,7;42,0%;54,0%;25 190;1 096;0,13%;10,76%;16,4%;85,7%;2024-12-03
Бразилия Серрадо / кофе в зернах свежеобжаренный / кофе в зернах 1000 гр;2377972452;Бразилия Серрадо Зерно 1 кг;https://www.ozon.ru/product/2377972452;S.PUDRA;Продукты питания;Кофе в зернах;Нет;29 737 ₽;-57%;17;1 471 ₽;1 749 ₽;0 ₽;14 из 28;957 ₽;1;FBO;28 ч;4,6;37,0%;45,0%;3 912;1 347;0,23%;3,41%;3,7%;88,2%;2025-06-29
Кофе молотый Вьетнам Ламдонг Далат 1 кг Рaul Coffee Company 100% Арабика;568370572;Кофе молотый Вьетнам Ламдонг Далат 1 кг Рaul;https://www.ozon.ru/product/568370572;Paul Coffee Company;Продукты питания;Кофе молотый;Нет;29 732 ₽;+24%;18;1 454 ₽;1 652 ₽;0 ₽;25 из 28;1 062 ₽;1;FBS;0 ч;4,0;38,0%;46,0%;4 541;239;0,08%;11,71%;0,5%;88,8%;2022-04-25
Кофе молотый 250 гр КЛАССИК 50% арабика 50% робуста свежая обжарка СOFFEE INN;1944515419;Классик.молот250;https://www.ozon.ru/product/1944515419;COFFEE INN;Продукты питания;Кофе молотый;Нет;29 728 ₽;+59%;61;1 ₽;487 ₽;0 ₽;22 из 28;1 038 ₽;2;FBO;40 ч;0,9;43,0%;57,0%;27 419;1 570;0,09%;8,85%;15,5%;93,5%;2025-03-16
Tchibo Professional Barista Espresso кофе в зернах 1 кг;2142696759;9668;https://www.ozon.ru/product/2142696759;Tchibo;Продукты питания;Кофе в зернах;Нет;29 723 ₽;+1 138%;13;1 882 ₽;2 286 ₽;911 ₽;23 из 28;911 ₽;0;FBO,FBS;0 ч;3,8;36,0%;43,0%;3 274;188;0,09%;10,10%;12,4%;84,6%;2025-05-16
Кофе в зернах Бразилия Сантос, 1кг, 100% арабика, свежеобжаренный;1680755287;сантос;https://www.ozon.ru/product/1680755287;BITTERSWEET;Продукты питания;Кофе в зернах;Нет;29 721 ₽;-28%;16;1 664 ₽;1 858 ₽;5 540 ₽;24 из 28;1 385 ₽;1;FBO,FBS;0 ч;5,2;38,0%;47,0%;1 106;208;0,36%;12,98%;0,0%;100,0%;2024-09-04
Кофе в зернах Табера Куба Либре 1 кг;3068467501;37650947;https://www.ozon.ru/product/3068467501;TABERA;Продукты питания;Кофе в зернах;Нет;29 718 ₽;+53%;12;2 325 ₽;2 476 ₽;0 ₽;24 из 28;1 143 ₽;0;FBO,FBS;0 ч;4,6;36,0%;43,0%;1 253;340;0,95%;7,05%;0,0%;91,6%;2025-11-05
Кофе в зернах Вишня в шоколаде / Монтана Кофе /100% ароматизированная Арабика 150 гр;1860349403;4606529007740;https://www.ozon.ru/product/1860349403;Монтана Кофе;Продукты питания;Кофе в зернах;Нет;29 707 ₽;+3%;71;35 ₽;418 ₽;0 ₽;23 из 28;1 075 ₽;3;FBO;43 ч;1,0;49,0%;68,0%;5 475;1 144;0,62%;10,22%;0,0%;100,0%;2025-02-06
Кофе в капсулах для кофемашин NESPRESSO - IRISH CREAM (ирландский крем) 10 шт;2446015415;OZN4627178838959;https://www.ozon.ru/product/2446015415;Lapchevsky coffee;Продукты питания;Кофе в капсулах;Нет;29 707 ₽;+4%;60;439 ₽;495 ₽;7 963 ₽;22 из 28;1 327 ₽;3;FBO;34 ч;0,4;45,0%;60,0%;1 447;254;1,79%;9,84%;0,0%;96,3%;2025-07-10
Вьетнамский растворимый кофе 3в1в пакетиках Trung Nguyen Legend классик, 50 пакетиков;1000050204;05.061;https://www.ozon.ru/product/1000050204;TRUNG NGUYEN LEGEND;Продукты питания;Кофе растворимый;Нет;29 705 ₽;-72%;20;1 222 ₽;1 485 ₽;6 146 ₽;21 из 28;1 229 ₽;1;FBO;39 ч;3,5;39,0%;49,0%;16 843;800;0,11%;8,25%;4,2%;95,0%;2023-05-26
Кофе в зернах Julius Meinl Red Door (Ред Дор), 1 кг;1341139574;1650;https://www.ozon.ru/product/1341139574;Julius Meinl;Продукты питания;Кофе в зернах;Нет;29 696 ₽;+37%;8;3 467 ₽;3 712 ₽;9 899 ₽;28 из 28;1 414 ₽;0;FBO,FBS;105 ч;2,8;34,0%;40,0%;580;219;0,51%;5,02%;0,0%;100,0%;2023-12-14
"Кофе молотый ассорти в деревянной шкатулке ""Кофейный гурман"", GET&JOY. Бразилия, Эфиопия,Колумбия,100% Арабика, 300 г";1412705912;27609;https://www.ozon.ru/product/1412705912;GET&JOY;Продукты питания;Кофе молотый;Нет;29 694 ₽;+434%;15;1 878 ₽;1 980 ₽;11 878 ₽;24 из 28;1 485 ₽;1;FBO,FBS;0 ч;6,0;38,0%;46,0%;2 350;456;0,12%;8,99%;0,0%;100,0%;2024-02-01
Кофе в капсулах Caffitaly Decaffeinato;827639228;16;https://www.ozon.ru/product/827639228;Caffitaly;Продукты питания;Кофе в капсулах;Нет;29 687 ₽;+708%;51;507 ₽;582 ₽;7 553 ₽;17 из 28;1 259 ₽;2;FBO;32 ч;0,5;43,0%;58,0%;8 193;535;0,42%;7,10%;14,5%;68,8%;2022-12-27
Кофе в капсулах Nespresso Vertuo Pumpkin Spice Cake, 230 мл;1233620448;Vertuo Pumpkin Spice Cake;https://www.ozon.ru/product/1233620448;Nespresso;Продукты питания;Кофе в капсулах;Нет;29 686 ₽;0%;18;1 486 ₽;1 649 ₽;0 ₽;19 из 28;1 060 ₽;1;FBS;0 ч;1,0;37,0%;45,0%;472;100;2,33%;11,00%;0,0%;88,8%;2023-10-10
Кофе в зернах 1 кг арабика 100% бразилия сантос Barra Grande DELIGHT;1597750947;1bg_delight;https://www.ozon.ru/product/1597750947;BARRA GRANDE;Продукты питания;Кофе в зернах;Нет;29 679 ₽;-68%;19;1 262 ₽;1 562 ₽;6 452 ₽;17 из 28;1 290 ₽;1;FBO;36 ч;2,6;37,0%;45,0%;2 464;444;0,08%;10,13%;1,0%;100,0%;2024-06-06
Кофе в капсулах L’or Uganda Arabica Rwenzori Capsules, 100шт;3195823192;1556017022;https://www.ozon.ru/product/3195823192;L'OR;Продукты питания;Кофе в капсулах;Нет;29 676 ₽;0%;8;3 433 ₽;3 709 ₽;4 946 ₽;16 из 28;1 236 ₽;0;FBO;44 ч;5,0;33,0%;37,0%;811;243;1,10%;2,05%;0,0%;100,0%;2025-12-04
Кофейный напиток Lotte Let's Be Latte, 8 банок по 240 мл.;307940712;УТ-00003411;https://www.ozon.ru/product/307940712;Lotte Let's Be;Продукты питания;Кофейный напиток;Нет;29 667 ₽;+151%;29;928 ₽;1 023 ₽;0 ₽;26 из 28;1 057 ₽;1;FBO,FBS;0 ч;4,1;43,0%;56,0%;3 076;526;0,39%;7,98%;0,0%;79,3%;2021-08-23
Натуральный кофе Ароматный в зернах, арабика и робуста средней обжарки 1 кг., зерновой свежеобжаренный кофе Cafe Store;720165491;Арома1000;https://www.ozon.ru/product/720165491;CafeStore We make it easy;Продукты питания;Кофе в зернах;Нет;29 662 ₽;-45%;20;1 066 ₽;1 483 ₽;15 984 ₽;26 из 28;1 598 ₽;1;FBO;49 ч;3,2;40,0%;51,0%;1 653;601;0,18%;4,65%;11,9%;95,0%;2022-09-20
Кофе в зернах 1 кг Crema e Aroma;3020396462;'Крема арома 1 кг_3;https://www.ozon.ru/product/3020396462;без бренда;Продукты питания;Кофе в зернах;Нет;29 661 ₽;+265%;19;1 350 ₽;1 561 ₽;0 ₽;24 из 28;1 059 ₽;1;FBO,FBS;0 ч;0,6;36,0%;43,0%;2 583;261;0,07%;12,26%;0,0%;100,0%;2025-10-25
Кофе капсулы LBRC фирма (формата firma) 100% натуральный молотый кофе Delicate;821393554;Озон/000018;https://www.ozon.ru/product/821393554;Lazy Barista Roasting Company;Продукты питания;Кофе в капсулах;Нет;29 661 ₽;-46%;36;693 ₽;824 ₽;22 253 ₽;27 из 28;1 854 ₽;2;FBO;0 ч;1,6;41,0%;52,0%;2 467;461;0,12%;8,24%;0,7%;100,0%;2022-12-17
Кофе в зернах 500 гр ЛЕСНОЙ ОРЕХ 100% арабика свежая обжарка СOFFEE INN Arabica/ароматизированный/бразилия;2149165694;ЛеснойОрех500;https://www.ozon.ru/product/2149165694;COFFEE INN;Продукты питания;Кофе в зернах;Нет;29 661 ₽;-23%;28;766 ₽;1 059 ₽;13 047 ₽;19 из 28;1 450 ₽;1;FBO;31 ч;1,8;39,0%;48,0%;1 600;701;0,50%;6,56%;0,0%;92,8%;2025-05-18
Кофе Nespresso CIOCCOLATINO в капсулах, 50 шт. (комплект - 5 упаковок);1317641692;CIOCCOLATINO-5;https://www.ozon.ru/product/1317641692;Nespresso;Продукты питания;Кофе в капсулах;Нет;29 656 ₽;+72%;6;4 484 ₽;4 943 ₽;0 ₽;14 из 28;1 059 ₽;0;FBS;0 ч;2,7;34,0%;39,0%;1 037;22;0,09%;13,63%;0,6%;100,0%;2023-11-30
Кофе в зернах Lofbergs Magnifica 400g;870334560;11221;https://www.ozon.ru/product/870334560;Lofbergs;Продукты питания;Кофе в зернах;Нет;29 642 ₽;+99%;28;746 ₽;1 059 ₽;0 ₽;20 из 28;1 059 ₽;1;FBO;30 ч;2,2;40,0%;51,0%;928;107;1,18%;11,21%;0,0%;100,0%;2023-02-20
Кофе в капсулах Stelvio MIX L Eleganza Italiana для системы Nespresso, 50 шт;2769274824;BLIO50SLEI;https://www.ozon.ru/product/2769274824;Stelvio;Продукты питания;Кофе в капсулах;Нет;29 639 ₽;+63%;21;1 331 ₽;1 411 ₽;0 ₽;17 из 28;1 001 ₽;1;FBO;28 ч;2,0;37,0%;46,0%;904;366;1,88%;15,57%;0,0%;95,2%;2025-08-28
Капсула Дольче Густо Dolce Gusto Rich многоразовая для кофемашины 1 шт+ мерная ложечка;1700858318;рич1_коричн;https://www.ozon.ru/product/1700858318;SOMPAR!NO;Продукты питания;Кофе в капсулах;Нет;29 633 ₽;+53%;97;186 ₽;305 ₽;11 350 ₽;23 из 28;1 419 ₽;5;FBO;51 ч;0,5;48,0%;66,0%;26 160;2 768;0,19%;7,04%;4,8%;90,6%;2024-09-22
Кофе молотый армянский;1260352407;Ultra2;https://www.ozon.ru/product/1260352407;Royal Armenia;Продукты питания;Кофе молотый;Нет;29 631 ₽;+1 016%;82;222 ₽;361 ₽;0 ₽;24 из 28;1 013 ₽;3;FBO;28 ч;0,8;46,0%;61,0%;22 669;2 032;0,26%;5,61%;3,0%;97,5%;2023-10-26
Кофе Nescafe Dolce Gusto CORTADO Espresso Macchiato, 16 капсул;2551390080;827014;https://www.ozon.ru/product/2551390080;Nescafe Dolce Gusto;Продукты питания;Кофе в капсулах;Нет;29 631 ₽;+261%;32;642 ₽;926 ₽;0 ₽;24 из 28;995 ₽;1;FBO,FBS;40 ч;2,2;41,0%;53,0%;9 918;658;0,19%;9,27%;2,3%;96,6%;2025-07-26
Кофе в зернах 1 кг Swisso Kaffee Crema;2720233275;SwissoCremaКофеЗерно1кгШК0802;https://www.ozon.ru/product/2720233275;SWISSO;Продукты питания;Кофе в зернах;Нет;29 629 ₽;+70%;18;1 459 ₽;1 646 ₽;0 ₽;25 из 28;1 006 ₽;1;FBS;0 ч;3,9;38,0%;48,0%;3 554;456;0,36%;5,92%;0,0%;83,3%;2025-08-20
"Кофе молотый ""Sang Tao"" №3 ЧУНГ НГУЕН, 2шт по 340 г.";588618664;BaoTNST3-340g2;https://www.ozon.ru/product/588618664;Trung Nguyen;Продукты питания;Кофе молотый;Нет;29 613 ₽;+3%;22;1 231 ₽;1 346 ₽;0 ₽;25 из 28;1 058 ₽;1;FBO,FBS;0 ч;2,0;37,0%;45,0%;1 999;458;0,25%;5,45%;0,0%;95,4%;2022-05-16
Кофе растворимый сублимированный Monarch Original, 95 г (набор с кружкой);1761026988;17466;https://www.ozon.ru/product/1761026988;Monarch;Продукты питания;Кофе растворимый;Нет;29 612 ₽;+121%;34;836 ₽;871 ₽;111 517 ₽;28 из 28;5 069 ₽;6;FBS;0 ч;4,0;44,0%;58,0%;7 073;893;0,72%;7,95%;0,0%;100,0%;2024-11-18
Кофе в зернах Material, Арабика 1 кг;1718161451;301;https://www.ozon.ru/product/1718161451;Кофе с Райдос;Продукты питания;Кофе в зернах;Нет;29 609 ₽;-58%;13;1 711 ₽;2 278 ₽;0 ₽;22 из 28;857 ₽;0;FBO,FBS;0 ч;4,3;36,0%;43,0%;695;240;0,71%;5,41%;0,0%;84,6%;2024-10-08
Кофе 380г Московская Кофейня на Паяхъ АРАБИКА сублимированный. Набор из 2-ух пачек по 190г.;1758669879;KS01322;https://www.ozon.ru/product/1758669879;Московская кофейня на паяхъ;Продукты питания;Кофе растворимый;Нет;29 604 ₽;+10%;18;1 231 ₽;1 645 ₽;738 ₽;25 из 28;738 ₽;0;FBO,FBS;0 ч;3,5;37,0%;45,0%;7 232;606;0,09%;8,58%;0,0%;94,4%;2024-11-14
Кофе в зернах 1 кг арабика 100%;355771577;Сантос 1000гр;https://www.ozon.ru/product/355771577;MEOLLO;Продукты питания;Кофе в зернах;Нет;29 600 ₽;+13%;15;1 706 ₽;1 973 ₽;0 ₽;21 из 28;914 ₽;0;FBS;0 ч;4,2;38,0%;46,0%;1 048;200;0,19%;10,00%;0,0%;80,0%;2021-10-18
Кофе Арабский молотый с кардамоном Haseeb Super Extra Cardamon Хасиб 200гр 2шт;863210238;40742;https://www.ozon.ru/product/863210238;Haseeb;Продукты питания;Кофе молотый;Нет;29 594 ₽;-16%;25;978 ₽;1 184 ₽;6 372 ₽;24 из 28;1 274 ₽;1;FBS;0 ч;1,2;38,0%;48,0%;11 048;832;0,12%;9,25%;12,4%;96,0%;2023-02-14
Набор кофе в капсулах для Nespresso Vertuo Grand Lungo 40 капсул;1425846225;Набор Vertuo Grand Lungo;https://www.ozon.ru/product/1425846225;Nespresso;Продукты питания;Кофе в капсулах;Нет;29 593 ₽;-80%;7;3 898 ₽;4 228 ₽;188 637 ₽;27 из 28;8 202 ₽;2;FBS;0 ч;12,6;36,0%;43,0%;1 515;59;0,33%;10,16%;17,1%;100,0%;2024-02-18
НЕСКАФÉ Кофе растворимый Сублимированный 400г. 1шт.;956469090;NESCAFE-GOLD-BARISTA-400;https://www.ozon.ru/product/956469090;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;29 581 ₽;-46%;16;1 590 ₽;1 849 ₽;0 ₽;22 из 28;1 109 ₽;1;FBO;33 ч;2,8;36,0%;44,0%;6 741;546;0,31%;7,87%;0,0%;87,5%;2023-04-27
Кофе в зернах ELEVATOR Бразилия Можиана, Арабика 100%, эспрессо 500г;1312199449;FBR-97-500-E;https://www.ozon.ru/product/1312199449;ELEVATOR;Продукты питания;Кофе в зернах;Нет;29 572 ₽;+158%;24;1 058 ₽;1 232 ₽;0 ₽;25 из 28;952 ₽;1;FBO;51 ч;2,5;38,0%;47,0%;1 157;427;1,03%;8,19%;0,0%;95,4%;2023-11-27
Кофе молотый Баунти 250г Феличе;562641195;Кофе_МОЛ_Баунти_250;https://www.ozon.ru/product/562641195;Feliche life;Продукты питания;Кофе молотый;Нет;29 571 ₽;-25%;42;581 ₽;704 ₽;0 ₽;18 из 28;1 056 ₽;2;FBO;35 ч;0,9;41,0%;52,0%;6 254;2 576;0,27%;3,88%;2,4%;97,6%;2022-04-20
Кофе в зернах EILLES Exclusive Cafe Crema, 500 г;2483395803;4006581020396;https://www.ozon.ru/product/2483395803;Eilles Kaffee;Продукты питания;Кофе в зернах;Нет;29 571 ₽;+362%;26;763 ₽;1 137 ₽;935 ₽;25 из 28;935 ₽;1;FBS;0 ч;1,4;38,0%;48,0%;3 263;1 036;0,24%;6,56%;4,1%;92,3%;2025-07-16
Кофе Tassimo, импортированный из Германии;2670557574;JB1384;https://www.ozon.ru/product/2670557574;Tassimo;Продукты питания;Кофе в капсулах;Нет;29 564 ₽;-72%;22;1 247 ₽;1 344 ₽;0 ₽;0 из 28;0 ₽;0;FBS;0 ч;3,6;40,0%;50,0%;1 721;858;2,20%;5,59%;0,0%;95,4%;2025-08-13
SEIKO Original BLEND Кофе в фильтр пакетах, 24 шт по 8 гр.;2619257466;0926717653;https://www.ozon.ru/product/2619257466;SEIKO COFFEE;Продукты питания;Кофе в дрип-пакетах;Нет;29 547 ₽;+648%;31;671 ₽;953 ₽;46 425 ₽;27 из 28;2 579 ₽;3;FBO,FBS;150 ч;2,3;40,0%;51,0%;1 054;176;1,80%;15,34%;0,0%;93,5%;2025-08-06
Кофе в зернах Crema e Aroma, 1 кг Италия;3223359414;L Crema eAroma1 Z;https://www.ozon.ru/product/3223359414;без бренда;Продукты питания;Кофе в зернах;Нет;29 543 ₽;0%;22;1 249 ₽;1 343 ₽;14 859 ₽;25 из 28;1 486 ₽;1;FBS;0 ч;0,9;37,0%;45,0%;5 527;118;0,23%;16,94%;2,1%;100,0%;2025-12-11
Германия Tassimo;3191129330;jiaotangnatie;https://www.ozon.ru/product/3191129330;Tassimo;Продукты питания;Кофе в капсулах;Нет;29 540 ₽;0%;23;1 217 ₽;1 284 ₽;0 ₽;0 из 28;0 ₽;0;FBS;0 ч;4,5;41,0%;52,0%;1 991;733;2,26%;8,73%;0,0%;100,0%;2025-12-03
Movenpick coffee, кофе молотый Movenpick El Autentico, 500гр Германия;1397786883;7552;https://www.ozon.ru/product/1397786883;Movenpick;Продукты питания;Кофе молотый;Нет;29 525 ₽;-1%;23;1 154 ₽;1 284 ₽;0 ₽;22 из 28;1 055 ₽;1;FBO;54 ч;3,0;38,0%;48,0%;7 795;976;0,21%;4,20%;0,8%;100,0%;2024-01-22
"Кофейный напиток 3 в 1 ЛАТТЕ ""Bridge Coffee"" (упаковка 16шт)";3089890964;Латте16;https://www.ozon.ru/product/3089890964;Bridge Coffee;Продукты питания;Кофейный напиток;Нет;29 523 ₽;+77%;121;20 ₽;244 ₽;0 ₽;27 из 28;1 048 ₽;4;FBO,FBS;0 ч;1,2;40,0%;52,0%;8 116;3 497;0,34%;10,40%;0,0%;96,6%;2025-11-10
Капсулы TASSIMO (160 шт. / 10x16) Jacobs LOr Long Intense для кофемашин Bosch Tassimo;2402747674;VMA748877;https://www.ozon.ru/product/2402747674;Tassimo;Продукты питания;Кофе в капсулах;Нет;29 520 ₽;-6%;4;7 087 ₽;7 380 ₽;0 ₽;0 из 28;0 ₽;0;FBS;0 ч;6,0;34,0%;39,0%;446;112;0,44%;5,35%;0,0%;75,0%;2025-07-03
Все подарки Кофе растворимый 1000г. 1шт.;2939599719;кофе-3-кофе;https://www.ozon.ru/product/2939599719;Все подарки;Продукты питания;Кофе растворимый;Нет;29 513 ₽;-68%;33;587 ₽;894 ₽;135 762 ₽;28 из 28;5 903 ₽;7;FBO,FBS;0 ч;3,0;41,0%;53,0%;9 528;3 575;0,25%;5,76%;0,0%;96,9%;2025-10-07
Кофе в зернах Ambassador Platinum Crema, 1 кг.;781202745;ШФ000032234;https://www.ozon.ru/product/781202745;Ambassador;Продукты питания;Кофе в зернах;Нет;29 509 ₽;+765%;16;1 525 ₽;1 844 ₽;4 918 ₽;11 из 28;1 230 ₽;1;FBO;33 ч;5,7;36,0%;43,0%;1 739;889;0,17%;2,92%;0,0%;100,0%;2022-11-08
Кофе в капсулах для кофемашин NESPRESSO- CHOCOLATE-ORANGE (шоколад-апельсин) 10 шт;2451950113;OZN4627178838936;https://www.ozon.ru/product/2451950113;Lapchevsky coffee;Продукты питания;Кофе в капсулах;Нет;29 499 ₽;0%;60;1 ₽;492 ₽;8 045 ₽;26 из 28;1 341 ₽;3;FBO;36 ч;0,4;45,0%;60,0%;1 560;279;1,08%;15,41%;0,0%;100,0%;2025-07-11
IDEE (J.J. Darboven) Кофе GOLD EXPRESS, растворимый, 100 гр.;168627257;3238;https://www.ozon.ru/product/168627257;IDEE (J.J. Darboven);Продукты питания;Кофе растворимый;Нет;29 487 ₽;+191%;42;584 ₽;702 ₽;3 538 ₽;26 из 28;1 179 ₽;2;FBO;51 ч;0,7;41,0%;53,0%;32 315;2 103;0,08%;6,65%;18,8%;100,0%;2020-02-21
Кофе в зернах 1 кг Арабика 80%, Робуста 20% свежеобжаренный кофе в зернах 1кг, КАПСБУРГ;297669029;M_1000_80_20;https://www.ozon.ru/product/297669029;CUPSBURG COFFEE;Продукты питания;Кофе в зернах;Нет;29 486 ₽;+8%;13;2 127 ₽;2 268 ₽;0 ₽;25 из 28;1 053 ₽;0;FBS;0 ч;4,1;37,0%;45,0%;812;128;0,24%;7,03%;0,0%;100,0%;2021-08-02
Кофе Эгоист Noir 70г. пакет 3 шт.;2103689226;200750;https://www.ozon.ru/product/2103689226;EGOISTE;Продукты питания;Кофе растворимый;Нет;29 483 ₽;-28%;24;820 ₽;1 228 ₽;12 810 ₽;27 из 28;1 601 ₽;1;FBO,FBS;0 ч;2,7;38,0%;48,0%;2 618;318;1,29%;11,00%;0,0%;91,6%;2025-05-06
Набор кофе Nespresso ARPEGGIO, 2 упаковки (20 капсул);1373065635;ARPEGGIO-2;https://www.ozon.ru/product/1373065635;Nespresso;Продукты питания;Кофе в капсулах;Нет;29 471 ₽;+177%;15;1 746 ₽;1 965 ₽;0 ₽;0 из 28;1 053 ₽;1;FBS;0 ч;1,9;35,0%;42,0%;1 707;104;0,00%;8,65%;0,3%;100,0%;2024-01-05
Кофе в капсулах набор NESPRESSO Ispirazione Firenze Arpeggio 30 капсул;1421957605;1178;https://www.ozon.ru/product/1421957605;Nespresso;Продукты питания;Кофе в капсулах;Нет;29 457 ₽;0%;12;2 066 ₽;2 455 ₽;0 ₽;14 из 28;1 052 ₽;0;FBS;0 ч;2,6;35,0%;42,0%;1 154;119;0,08%;11,76%;1,4%;100,0%;2024-02-13
Набор кофе в капсулах для Nespresso Vertuo Mexico 30 капсул;1042497553;Набор Vertuo Mexico 3;https://www.ozon.ru/product/1042497553;Nespresso;Продукты питания;Кофе в капсулах;Нет;29 451 ₽;+106%;6;4 467 ₽;4 908 ₽;0 ₽;19 из 28;1 392 ₽;0;FBS;0 ч;4,8;34,0%;40,0%;258;118;0,00%;5,08%;0,0%;83,3%;2023-06-20
Кофе в зернах Сварщица Екатерина Кения Ньери ПБ под фильтр - 250 гр;3049386775;e7a29f4c-02f5-455a-bd13-3a2efdf58ff9;https://www.ozon.ru/product/3049386775;The WELDER CATHERINE;Продукты питания;Кофе в зернах;Нет;29 447 ₽;-27%;24;1 171 ₽;1 227 ₽;37 577 ₽;26 из 28;2 349 ₽;2;FBS;0 ч;3,4;40,0%;51,0%;1 142;549;1,66%;5,28%;0,0%;95,8%;2025-10-31
